timestamp_ms,device_id,value,status
0,constant_01,1000,steady
50,constant_01,1000,steady
100,constant_01,1000,steady
150,constant_01,1000,steady
200,constant_01,1000,steady
250,constant_01,1000,steady
300,constant_01,1000,steady
350,constant_01,1000,steady
400,constant_01,1000,steady
450,constant_01,1000,steady
500,constant_01,1000,steady
550,constant_01,1000,steady
600,constant_01,1000,steady
650,constant_01,1000,steady
700,constant_01,1000,steady
750,constant_01,1000,steady
800,constant_01,1000,steady
850,constant_01,1000,steady
900,constant_01,1000,steady
950,constant_01,1000,steady
1000,constant_01,1000,steady
1050,constant_01,1000,steady
1100,constant_01,1000,steady
1150,constant_01,1000,steady
1200,constant_01,1000,steady
1250,constant_01,1000,steady
1300,constant_01,1000,steady
1350,constant_01,1000,steady
1400,constant_01,1000,steady
1450,constant_01,1000,steady
1500,constant_01,1000,steady
1550,constant_01,1000,steady
1600,constant_01,1000,steady
1650,constant_01,1000,steady
1700,constant_01,1000,steady
1750,constant_01,1000,steady
1800,constant_01,1000,steady
1850,constant_01,1000,steady
1900,constant_01,1000,steady
1950,constant_01,1000,steady
2000,constant_01,1000,steady
2050,constant_01,1000,steady
2100,constant_01,1000,steady
2150,constant_01,1000,steady
2200,constant_01,1000,steady
2250,constant_01,1000,steady
2300,constant_01,1000,steady
2350,constant_01,1000,steady
2400,constant_01,1000,steady
2450,constant_01,1000,steady
2500,constant_01,1000,steady
2550,constant_01,1000,steady
2600,constant_01,1000,steady
2650,constant_01,1000,steady
2700,constant_01,1000,steady
2750,constant_01,1000,steady
2800,constant_01,1000,steady
2850,constant_01,1000,steady
2900,constant_01,1000,steady
2950,constant_01,1000,steady
3000,constant_01,1000,steady
3050,constant_01,1000,steady
3100,constant_01,1000,steady
3150,constant_01,1000,steady
3200,constant_01,1000,steady
3250,constant_01,1000,steady
3300,constant_01,1000,steady
3350,constant_01,1000,steady
3400,constant_01,1000,steady
3450,constant_01,1000,steady
3500,constant_01,1000,steady
3550,constant_01,1000,steady
3600,constant_01,1000,steady
3650,constant_01,1000,steady
3700,constant_01,1000,steady
3750,constant_01,1000,steady
3800,constant_01,1000,steady
3850,constant_01,1000,steady
3900,constant_01,1000,steady
3950,constant_01,1000,steady
4000,constant_01,1000,steady
4050,constant_01,1000,steady
4100,constant_01,1000,steady
4150,constant_01,1000,steady
4200,constant_01,1000,steady
4250,constant_01,1000,steady
4300,constant_01,1000,steady
4350,constant_01,1000,steady
4400,constant_01,1000,steady
4450,constant_01,1000,steady
4500,constant_01,1000,steady
4550,constant_01,1000,steady
4600,constant_01,1000,steady
4650,constant_01,1000,steady
4700,constant_01,1000,steady
4750,constant_01,1000,steady
4800,constant_01,1000,steady
4850,constant_01,1000,steady
4900,constant_01,1000,steady
4950,constant_01,1000,steady
