timestamp_ms,device_id,value,status
0,variable_01,1000,burst
50,variable_01,1013,steady
100,variable_01,1026,steady
150,variable_01,1039,steady
200,variable_01,1052,steady
250,variable_01,1065,steady
300,variable_01,1078,steady
350,variable_01,1091,steady
400,variable_01,1104,steady
450,variable_01,1117,steady
500,variable_01,1130,steady
550,variable_01,1143,steady
600,variable_01,1156,steady
650,variable_01,1169,steady
700,variable_01,1182,steady
750,variable_01,1195,steady
800,variable_01,1208,steady
850,variable_01,1221,steady
900,variable_01,1234,steady
950,variable_01,1247,burst
1000,variable_01,1009,steady
1050,variable_01,1022,steady
1100,variable_01,1035,steady
1150,variable_01,1048,steady
1200,variable_01,1061,steady
1250,variable_01,1074,steady
1300,variable_01,1087,steady
1350,variable_01,1100,steady
1400,variable_01,1113,steady
1450,variable_01,1126,steady
1500,variable_01,1139,steady
1550,variable_01,1152,steady
1600,variable_01,1165,steady
1650,variable_01,1178,steady
1700,variable_01,1191,steady
1750,variable_01,1204,steady
1800,variable_01,1217,steady
1850,variable_01,1230,steady
1900,variable_01,1243,burst
1950,variable_01,1005,steady
2000,variable_01,1018,steady
2050,variable_01,1031,steady
2100,variable_01,1044,steady
2150,variable_01,1057,steady
2200,variable_01,1070,steady
2250,variable_01,1083,steady
2300,variable_01,1096,steady
2350,variable_01,1109,steady
2400,variable_01,1122,steady
2450,variable_01,1135,steady
2500,variable_01,1148,steady
2550,variable_01,1161,steady
2600,variable_01,1174,steady
2650,variable_01,1187,steady
2700,variable_01,1200,steady
2750,variable_01,1213,steady
2800,variable_01,1226,steady
2850,variable_01,1239,burst
2900,variable_01,1001,steady
2950,variable_01,1014,steady
3000,variable_01,1027,steady
3050,variable_01,1040,steady
3100,variable_01,1053,steady
3150,variable_01,1066,steady
3200,variable_01,1079,steady
3250,variable_01,1092,steady
3300,variable_01,1105,steady
3350,variable_01,1118,steady
3400,variable_01,1131,steady
3450,variable_01,1144,steady
3500,variable_01,1157,steady
3550,variable_01,1170,steady
3600,variable_01,1183,steady
3650,variable_01,1196,steady
3700,variable_01,1209,steady
3750,variable_01,1222,steady
3800,variable_01,1235,burst
3850,variable_01,1248,steady
3900,variable_01,1010,steady
3950,variable_01,1023,steady
4000,variable_01,1036,steady
4050,variable_01,1049,steady
4100,variable_01,1062,steady
4150,variable_01,1075,steady
4200,variable_01,1088,steady
4250,variable_01,1101,steady
4300,variable_01,1114,steady
4350,variable_01,1127,steady
4400,variable_01,1140,steady
4450,variable_01,1153,steady
4500,variable_01,1166,steady
4550,variable_01,1179,steady
4600,variable_01,1192,steady
4650,variable_01,1205,steady
4700,variable_01,1218,steady
4750,variable_01,1231,burst
4800,variable_01,1244,steady
4850,variable_01,1006,steady
4900,variable_01,1019,steady
4950,variable_01,1032,steady
