timestamp_ms,device_id,humidity_pct
0,hum_00,67.0
1000,hum_01,66.979
2000,hum_02,66.917
3000,hum_03,66.814
4000,hum_04,66.669
5000,hum_05,66.485
6000,hum_06,66.26
7000,hum_07,65.997
8000,hum_00,65.696
9000,hum_01,65.357
10000,hum_02,64.983
11000,hum_03,64.574
12000,hum_04,64.132
13000,hum_05,63.659
14000,hum_06,63.156
15000,hum_07,62.624
16000,hum_00,62.066
17000,hum_01,61.484
18000,hum_02,60.879
19000,hum_03,60.254
20000,hum_04,59.61
21000,hum_05,58.951
22000,hum_06,58.278
23000,hum_07,57.594
24000,hum_00,56.9
25000,hum_01,56.2
26000,hum_02,55.496
27000,hum_03,54.791
28000,hum_04,54.086
29000,hum_05,53.384
30000,hum_06,52.688
31000,hum_07,51.999
32000,hum_00,51.322
33000,hum_01,50.656
34000,hum_02,50.006
35000,hum_03,49.373
36000,hum_04,48.76
37000,hum_05,48.168
38000,hum_06,47.6
39000,hum_07,47.057
40000,hum_00,46.542
41000,hum_01,46.057
42000,hum_02,45.602
43000,hum_03,45.179
44000,hum_04,44.791
45000,hum_05,44.438
46000,hum_06,44.121
47000,hum_07,43.842
48000,hum_00,43.602
49000,hum_01,43.401
50000,hum_02,43.24
51000,hum_03,43.12
52000,hum_04,43.041
53000,hum_05,43.003
54000,hum_06,43.007
55000,hum_07,43.053
56000,hum_00,43.139
57000,hum_01,43.267
58000,hum_02,43.435
59000,hum_03,43.644
60000,hum_04,43.891
61000,hum_05,44.177
62000,hum_06,44.501
63000,hum_07,44.86
64000,hum_00,45.255
65000,hum_01,45.684
66000,hum_02,46.145
67000,hum_03,46.636
68000,hum_04,47.156
69000,hum_05,47.704
70000,hum_06,48.276
71000,hum_07,48.872
72000,hum_00,49.49
73000,hum_01,50.126
74000,hum_02,50.779
75000,hum_03,51.447
76000,hum_04,52.127
77000,hum_05,52.817
78000,hum_06,53.514
79000,hum_07,54.217
80000,hum_00,54.922
81000,hum_01,55.628
82000,hum_02,56.331
83000,hum_03,57.03
84000,hum_04,57.722
85000,hum_05,58.404
86000,hum_06,59.075
87000,hum_07,59.731
88000,hum_00,60.371
89000,hum_01,60.993
90000,hum_02,61.594
91000,hum_03,62.172
92000,hum_04,62.725
93000,hum_05,63.251
94000,hum_06,63.749
95000,hum_07,64.217
96000,hum_00,64.653
97000,hum_01,65.055
98000,hum_02,65.423
99000,hum_03,65.754
